Fråga,Frågetyp,Nivå,Svar,Miniräknare tillåten
"Bestäm med hjälp av regression den bäst anpassade linjen för värdena nedan. Svara med två decimaler.

| x | y |
|---|---|
| 1 | 5.9 |
| 2 | 7.9 |
| 3 | 10.1 |
| 4 | 12.1 |",text,1,y = 2.08x + 3.80,Nej
"Bestäm med hjälp av regression den bäst anpassade linjen för värdena nedan. Svara med två decimaler.

| x | y |
|---|---|
| 1 | -3.4 |
| 2 | -5.1 |
| 3 | -6.4 |
| 4 | -8.1 |",text,1,y = -1.54x - 1.90,Nej
"Bestäm med hjälp av regression den bäst anpassade linjen för värdena nedan. Svara med två decimaler.

| x | y |
|---|---|
| 1 | 3.2 |
| 2 | 4.2 |
| 3 | 4.8 |
| 4 | 5.8 |",text,1,y = 0.84x + 2.40,Nej
"Bestäm med hjälp av regression den bäst anpassade linjen för värdena nedan. Svara med två decimaler.

| x | y |
|---|---|
| 1 | 0.8 |
| 2 | 0.0 |
| 3 | -1.0 |
| 4 | -1.8 |",text,1,y = -0.88x + 1.70,Nej
"Bestäm med hjälp av regression den bäst anpassade linjen för värdena nedan. Svara med två decimaler.

| x | y |
|---|---|
| 1 | 0.6 |
| 2 | 1.8 |
| 3 | 3.2 |
| 4 | 4.4 |",text,1,y = 1.28x - 0.70,Nej
"Bestäm med hjälp av regression den bäst anpassade linjen för värdena nedan. Svara med två decimaler.

| x | y |
|---|---|
| 1 | 1.6 |
| 2 | 1.9 |
| 3 | 2.6 |
| 4 | 2.9 |",text,1,y = 0.46x + 1.10,Nej
"Bestäm med hjälp av regression den bäst anpassade linjen för värdena nedan. Svara med två decimaler.

| x | y |
|---|---|
| 1 | 2.9 |
| 2 | 4.1 |
| 3 | 4.9 |
| 4 | 6.1 |",text,1,y = 1.04x + 1.90,Nej
"Bestäm med hjälp av regression den bäst anpassade linjen för värdena nedan. Svara med två decimaler.

| x | y |
|---|---|
| 1 | 4.6 |
| 2 | 6.1 |
| 3 | 7.4 |
| 4 | 8.9 |",text,1,y = 1.42x + 3.20,Nej
"Bestäm med hjälp av regression den bäst anpassade linjen för värdena nedan. Svara med två decimaler.

| x | y |
|---|---|
| 1 | -1.6 |
| 2 | -2.1 |
| 3 | -2.4 |
| 4 | -2.9 |",text,1,y = -0.42x - 1.20,Nej
"Bestäm med hjälp av regression den bäst anpassade linjen för värdena nedan. Svara med två decimaler.

| x | y |
|---|---|
| 1 | -0.4 |
| 2 | -1.6 |
| 3 | -2.4 |
| 4 | -3.6 |",text,1,y = -1.04x + 0.60,Nej
